Company Name,Predict
Pink Doctor,No
Varunika,No
Secure Blink,No
Starvic,No
Green Ray Technologies Pvt ltd,Yes
Ishitha pharma,Yes
Dhi Technologies Pvt Ltd,No
red reality,No
enextcloud technologies pvt ltd,No
The Experiential Hub,No
BirthVenue Growth Solutions Private Limited,No
BAOIAM INNOVATIONS PVT LTD,No
Codemania Edu Tech Pvt Ltd,No
BatBird Technology Services Pvt Ltd,No
Good Good Piggy (FinKids Technologies Limited),No
TurboHire,Yes
Sahara Inc.,No
Qubitrics,No
Roy Analytics Consulting Tech Private Limited,No
Respect Your Artist,No
ERLYSIGN,Yes
"Prakriti Initiatives, India",No
Diginoor.io,No
Engage2win,No
licentech,No
Beesense Communications Pvt Ltd,No
ZunRoof Tech Private Limited,Yes
Commerceup,No
Online Live Learning,No
Decentro Tech,Yes
HiPER,No
FOODONDOOR PRIVATE LIMITED,No
KredX,Yes
Abv,Yes
Jamitson healthcare management services & solutions Pvt ltd,No
Serviceon Automotive Technologies Pvt Ltd,No
orcablue.ai,Yes
DOJO Sports Pvt Ltd,No
Saveo,Yes
QuickPay,No
AUI Systems Pvt Ltd,Yes
Vvggh@-,Yes
Lugbee Services Private Limited,No
Celzero,No
BharatTech,No
Eduquis Technology LLP,No
Greensat Innovation Labs private limited,No
Orangewood Labs,No
Re-createsolutions,No
VOORAF TECHNOLOGY PVT LTD,No
erevu ventures private limited,Yes
DriverShaab,No
Mykare Health,No
Lineology Pvt Ltd,No
GoLife,No
ReshaMandi,No
leap.club,No
Yenna Tech Private Limited,No
InQube Innoventures Pvt Limited,No
Roz Khelo 50-50 Private Limited,No
PingSafe AI,No
GroCurv,Yes
Kyvor Genomics Pvt Ltd,No
UptimeAI Inc.,Yes
WinZO (Tictok Skill Games Private Limited),No
Udit Goenka,No
TELO (SRUNS International Pvt. Ltd.),No
Unbox Robotics,Yes
SIMDI Chemical Industries Nigeria,No
Smartcoin Financials,No
ConnectEd Technologies LLP,No
FORSTU EDUTECH LLP,No
HapGen Educational Services Private Limited,No
Jobsgaar Technologies Private Limited,No
IndiQube,No
Baaz,No
Vahan,Yes
Odigolive,Yes
Innokreat Technologies Pvt Ltd,No
AroLeap Fitness Pvt Ltd,Yes
Organic Crunch India,No
SaveIN,No
VINATA AEROMOBILITY PVT LTD,No
Orifinity Private Limited,No
Multipl,No
CellStrat AI Lab,No
MeghVaahan India Pvt Ltd,No
NATIVE NINJA LOCALISATION SERVICES PVT. LTD.,No
ParaStays Pvt. Ltd.,No
Motec Beauty And Cosmetics,Yes
EF Polymer Private Limited,No
OMS Vision,No
Indus OS (Oslabs Technology (India) Private Limited),No
Flexnest,No
VULHUNT,No
TrayamBhu Tech Solutions Private Limted,Yes
ABHISHTI TEXTILE PRIVATE LIMITED,No
STAGE,Yes
Navia Life Care,Yes
CropX Indus Pvt Ltd.,No
Professional Utilities,No
INDIAN HARD WORK,No
Odo,No
iMature EdTech Pvt Ltd,No
Rexon Proserv LLP,No
Lfyd,No
eeho webapp private limited,No
ARK SOLUTIONZ,No
PayNearby,No
Invesafe Technologies Private Limited,No
Mediimpact Healthcare Pvt Ltd,No
CometChat,Yes
NimbusPost Pvt. Ltd.,No
SHOPYLL,No
Recko Inc,Yes
ZoleSale Infotech Private Limited,No
QuickPay,No
Nimble Growth Organics,No
Brainwired,No
World Micro Stock Exchange,Yes
The Hobby Tribe,No
